臺東縣,關山,32,,良好,1.4,,4.9,30,6,1.8,1,3.24,1.42,2016-05-22 07:00
澎湖縣,馬公,12,,良好,3.3,0.27,10,13,4,12,1,18.4,5.93,2016-05-22 07:00
金門縣,金門,14,,良好,3.7,0.36,17,17,2,11,1,13.23,1.9,2016-05-22 07:00
連江縣,馬祖,21,,良好,2.3,0.41,25,3,10,5.7,1,6.79,1.14,2016-05-22 07:00
南投縣,埔里,25,,良好,1.3,0.25,9.8,22,8,7,1,8.19,1.17,2016-05-22 07:00
高雄市,復興,26,,良好,3,0.38,9.8,23,2,12,1,14.82,2.74,2016-05-22 07:00
新北市,永和,37,,良好,0.5,0.99,4.5,34,16,13,2,27.7,14.7,2016-05-22 07:00
南投縣,竹山,34,,良好,2.3,0.26,5.1,25,8,9.5,1,12.39,2.9,2016-05-22 07:00
桃園市,中壢,64,懸浮微粒,普通,9.6,1.73,4.2,64,34,25,4,62.69,37.68,2016-05-22 07:00
新北市,三重,54,懸浮微粒,普通,1.1,1.58,,40,11,19,3,68.79,49.76,2016-05-22 07:00
宜蘭縣,冬山,28,,良好,1.9,0.34,13,23,10,5.3,2,7.39,2.1,2016-05-22 07:00
宜蘭縣,宜蘭,36,,良好,2.2,0.31,11,34,13,5.4,2,6.95,1.59,2016-05-22 07:00
花蓮縣,花蓮,27,,良好,1.2,0.24,8,26,8,3,1,6.45,3.51,2016-05-22 07:00
臺東縣,臺東,21,,良好,1.5,0.32,5.5,23,5,3.9,1,6.5,2.57,2016-05-22 07:00
屏東縣,恆春,34,,良好,0.7,0.09,33,34,0,-0.1,1,2.43,2.52,2016-05-22 07:00
屏東縣,潮州,25,,良好,1.9,0.18,11,31,3,3.5,1,4.2,.66,2016-05-22 07:00
屏東縣,屏東,24,,良好,0.9,0.27,14,17,2,6.5,2,8.33,1.86,2016-05-22 07:00
高雄市,小港,36,,良好,3,0.26,9.2,29,3,9.1,1,14.08,5.01,2016-05-22 07:00
高雄市,前鎮,26,,良好,2.4,0.37,9.7,26,4,11,1,14.03,2.96,2016-05-22 07:00
高雄市,前金,32,,良好,1.2,0.33,15,26,11,9.4,2,11.97,2.61,2016-05-22 07:00
高雄市,左營,35,,良好,1.7,0.26,14,32,5,9.2,1,10.7,1.55,2016-05-22 07:00
高雄市,楠梓,42,,良好,1.3,0.2,16,33,2,8.2,1,10.45,2.21,2016-05-22 07:00
高雄市,林園,23,,良好,2.2,0.18,8.2,25,7,5.7,1,6.98,1.32,2016-05-22 07:00
高雄市,大寮,39,,良好,2.3,0.26,7.3,42,10,7.2,2,9.55,2.32,2016-05-22 07:00
高雄市,鳳山,34,,良好,3.5,0.23,11,36,0,8,,9.6,1.59,2016-05-22 07:00
高雄市,仁武,49,,良好,3.7,0.21,17,67,7,7.8,2,8.58,.76,2016-05-22 07:00
高雄市,橋頭,23,,良好,0.8,0.18,14,18,4,5.7,1,7.55,1.86,2016-05-22 07:00
高雄市,美濃,17,,良好,1,0.18,19,8,3,2.7,1,4.03,1.33,2016-05-22 07:00
臺南市,臺南,27,,良好,2,0.25,19,13,0,7.5,1,8.62,1.08,2016-05-22 07:00
臺南市,安南,36,,良好,-0.2,0.23,19,34,6,3.3,1,4.29,.99,2016-05-22 07:00
臺南市,善化,22,,良好,0.6,0.12,20,15,0,3.9,1,4.58,.71,2016-05-22 07:00
臺南市,新營,40,,良好,1.4,0.17,18,24,10,4.1,2,5.18,1.1,2016-05-22 07:00
嘉義市,嘉義,50,,良好,0.7,0.41,8.4,25,9,9.2,2,11.92,2.67,2016-05-22 07:00
雲林縣,臺西,62,懸浮微粒,普通,1.3,0.23,7.5,44,23,9.5,5,12.82,3.37,2016-05-22 07:00
嘉義縣,朴子,56,懸浮微粒,普通,1.7,0.51,7.7,55,40,11,3,14.17,3.36,2016-05-22 07:00
嘉義縣,新港,60,懸浮微粒,普通,1.6,0.55,2.2,43,25,11,4,26.5,15.42,2016-05-22 07:00
雲林縣,崙背,54,懸浮微粒,普通,1.2,0.26,6.2,13,13,9.6,4,12.93,3.38,2016-05-22 07:00
